service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
T5,0,0,1,1,0,0,0,20150325,20150326
T2,0,0,0,0,0,1,0,20150327,20150329
UJ,0,0,0,0,0,0,1,20150327,20150329
T6,0,0,0,0,1,0,0,20150327,20150329
T5_1,1,1,1,1,0,0,0,20150330,20150402
T2_1,0,0,0,0,0,1,0,20150403,20150405
UJ_1,0,0,0,0,0,0,1,20150403,20150405
US,0,0,0,0,1,0,0,20150403,20150405
T5_2,0,1,1,1,0,0,0,20150406,20150409
UM,1,0,0,0,0,0,0,20150406,20150409
T0,1,1,1,1,1,0,0,20150410,20150430
T2_2,0,0,0,0,0,1,0,20150410,20150430
UJ_2,0,0,0,0,0,0,1,20150410,20150430
T0+a6,0,0,0,0,1,0,0,20150410,20150430
T5+ar,0,0,0,1,0,0,0,20150330,20150402
T5+td,1,1,1,0,0,0,0,20150330,20150402
T0+a5,1,1,1,1,0,0,0,20150410,20150430